Identificador,Área Construida (metros cuadrados),Área Privada (metros cuadrados),Habitaciones,Baños,Estrato,Parqueaderos,Antigüedad,Administración,Piso N°,Estado,Cantidad de pisos,Latitud,Longitud,Precio
192614181,78.0,,3,2,4,1,,,,Usado,,4.4311275,-75.1802893,1700000
192677018,236.0,157.0,5,5,4,1,9 a 15 años,,6,Usado,,4.4496067,-75.2480578,3000000
192120096,60.0,60.0,2,1,3,,1 a 8 años,,,,,4.4435743474833,-75.217651050068,650000
192515801,65.0,,2,2,3,1,1 a 8 años,,3,,,4.5805,-75.3754,2100000
192790366,95.0,,3,2,Sin Definir,1,9 a 15 años,,,Usado,,4.5805,-75.3754,2200000
192010744,60.0,58.0,3,2,3,1,menor a 1 año,151000.0,,Usado,,4.3972882,-75.146605,900000
192795358,80.0,80.0,3,2,4,1,1 a 8 años,,15,Usado,,4.4230877205406,-75.176848187064,1850000
192589217,40.0,40.0,2,1,3,,1 a 8 años,130000.0,,Usado,,4.4199241938459,-75.170624256134,720000
192812753,120.0,120.0,4,4,3,2,9 a 15 años,,8,Usado,,4.4491471528864,-75.245538633621,3200000
191344849,44.0,44.0,3,2,3,,9 a 15 años,138000.0,,,,4.4517669714068,-75.141644787901,562000
192497314,77.0,77.0,3,2,4,2,1 a 8 años,456000.0,,Usado,,4.3897289628639,-75.166443182526,1144000
192638309,58.0,58.0,3,2,3,1,1 a 8 años,145000.0,,,,4.4617480011795,-75.204420089722,793000
192592371,40.0,35.0,2,1,2,,1 a 8 años,130000.0,,,,4.4199241938459,-75.170624256134,720000
192596690,90.0,90.0,3,2,4,1,1 a 8 años,,,Usado,,4.4317549024315,-75.181202888489,1900000
192782746,73.0,73.0,3,2,4,1,9 a 15 años,,,Usado,,4.4302462,-75.2409001,1270000
192751071,8450.0,80.0,3,2,4,2,9 a 15 años,,12,Usado,,4.4483461,-75.1752578,2200000
192734363,100.0,100.0,3,3,5,1,1 a 8 años,,,Usado,,4.4416567,-75.2055919,2500000
192605502,97.0,91.0,2,2,5,1,1 a 8 años,,10,Usado,,4.4527283,-75.1900626,4750000
192532787,7231.0,6631.0,3,2,4,1,1 a 8 años,,8,Usado,8,4.4112974463264,-75.171295975239,1600000
192835541,75.0,75.0,3,2,2,,16 a 30 años,,4,Usado,,4.4468313557957,-75.194155555523,1400000
192444153,56.0,56.0,3,2,2,,16 a 30 años,,,,,4.4266374889924,-75.23756314069,700000
192371808,60.0,56.0,1,2,4,1,1 a 8 años,,6,Usado,,4.4389163,-75.1989264,3500000
192416840,56.0,56.0,1,2,5,1,1 a 8 años,,15,Usado,15,4.4426556,-75.2044118,2100000
192676883,60.0,60.0,3,2,3,1,menor a 1 año,,5,,,4.4076569168096,-75.166780930317,1100000
192180073,1.0,1.0,3,2,3,1,1 a 8 años,,8,Usado,8,4.451486,-75.141432,650000
192608594,42.0,39.0,2,1,2,,1 a 8 años,130000.0,,Usado,,4.3923042105903,-75.141313076019,520000
192677128,56.0,56.0,2,1,2,1,1 a 8 años,,2,,,4.4453177939481,-75.1638600047,750000
192217604,40.0,,2,1,2,,,,3,,3,4.4199215,-75.1706055,1400000
192212795,68.0,68.0,3,2,3,1,menor a 1 año,,4,Usado,4,4.4014387814551,-75.153205148108,1250000
192676084,68.0,68.0,3,2,4,1,1 a 8 años,,,,,4.4016959309195,-75.155019443787,2000000
192625688,77.0,77.0,3,2,3,1,1 a 8 años,,,Usado,,4.4059501941585,-75.168250966658,1600000
192460944,60.0,60.0,3,2,3,1,1 a 8 años,220000.0,,Usado,,4.4015038541649,-75.159058570862,880000
192701548,98.0,98.0,3,2,4,2,1 a 8 años,,,Usado,,4.454062,-75.2273097,2200000
192638338,76.0,76.0,3,2,4,1,1 a 8 años,306500.0,,,,4.4435898,-75.1982539,1073500
192803399,80.0,78.0,3,2,4,1,1 a 8 años,,5,Usado,,4.4354689,-75.1782045,2000000
192799758,210.0,180.0,4,4,4,1,1 a 8 años,,11,Usado,,4.4370692,-75.2034429,4500000
192669238,53.0,53.0,3,2,3,1,9 a 15 años,,7,Usado,,4.4470212,-75.1529419,880000
192666097,57.0,,2,2,3,,1 a 8 años,,5,Usado,,4.4189575,-75.1701309,1100000
192754923,30.0,30.0,1,1,4,1,1 a 8 años,,,Usado,,4.4493542183419,-75.246643949738,1100000
192779435,80.0,78.0,3,3,3,1,1 a 8 años,,13,Usado,,4.429528364003,-75.211224427455,2600000
192701794,100.0,100.0,3,2,5,2,1 a 8 años,500000.0,12,Usado,,4.434979,-75.1891849,3100000
192576356,72.0,72.0,3,2,3,,9 a 15 años,,,Usado,,4.4164199,-75.14889,700000
192152701,69.0,,3,2,4,1,1 a 8 años,,10,,,4.4149632,-75.1818019,1200000
192801098,150.0,,2,1,3,,,,1,Usado,,4.447338,-75.2018875,1000000
191707760,105.0,,3,2,3,,más de 30 años,,,,,4.4415602278174,-75.239811348122,700000
192051217,51.0,50.0,3,2,2,,16 a 30 años,224500.0,,Usado,,4.43742,-75.18375,575500
191707485,47.0,,3,2,3,,1 a 8 años,167000.0,,Usado,,4.4516024694949,-75.142068903363,460000
192819062,65.0,,3,2,3,,menor a 1 año,,2,Usado,,4.407495,-75.1670501,950000
192732085,48.0,48.0,2,1,3,,más de 30 años,135000.0,,,,4.4299394598584,-75.187480933964,715000
192755337,58.0,58.0,2,1,3,,16 a 30 años,140000.0,,Usado,,4.4406673746246,-75.198977311724,760000
191127246,53.0,,2,2,3,,,,,,,4.4187502,-75.1698692,1150000
192650939,120.0,,3,3,3,1,16 a 30 años,,4,,,4.4395746120202,-75.228604956223,1500000
192721671,58.0,58.0,3,2,3,,1 a 8 años,190000.0,,,,4.4216570942606,-75.171632766724,1090000
192627574,65.0,,3,2,3,1,9 a 15 años,,7,Usado,,4.423600781248,-75.184960053752,1100000
191707309,38.0,,3,1,2,,1 a 8 años,104000.0,,Usado,,4.451919,-75.1309956,446000
191707508,41.0,,3,2,3,1,1 a 8 años,175300.0,,Usado,,4.45159,-75.14192,554700
192534472,53.0,49.0,2,2,3,,menor a 1 año,170000.0,,,,4.4216570942606,-75.171632766724,1130000
192644217,62.0,,3,2,3,1,1 a 8 años,,8,,,4.4146566,-75.1746476,1250000
192676251,72.0,67.0,3,2,4,1,1 a 8 años,393290.0,,,,4.3897289628639,-75.166443182526,1206710
191707598,40.0,,2,1,2,,1 a 8 años,,,,,4.3958856332999,-75.136909727007,600000
191707560,49.0,,2,2,3,,1 a 8 años,171000.0,,,,4.4497190813049,-75.143250853167,529000
192701677,58.0,,3,2,3,1,menor a 1 año,,,,,4.3986426,-75.1477778,850000
192644229,57.0,,2,2,3,,menor a 1 año,,10,,,4.4188866,-75.1699607,1150000
192744283,6942.0,,3,2,4,1,,,,Usado,,4.4113238,-75.1712355,1950000
192699610,79.0,79.0,3,2,3,1,1 a 8 años,367300.0,,,,4.4334449882144,-75.189270973206,1232700
192451380,74.0,77.0,3,2,3,,1 a 8 años,212400.0,5,,5,4.4476712356496,-75.210792609161,1437600
192597387,52.0,52.0,3,2,3,1,1 a 8 años,,,,,4.444676,-75.242438,1200000
191344794,200.0,196.0,4,3,3,,16 a 30 años,,,,,4.4409932555375,-75.226097522809,3000000
192699977,47.0,47.0,3,2,3,,9 a 15 años,173000.0,,,,4.4495487444155,-75.160002708435,577000
192828379,5435.0,,2,1,4,,16 a 30 años,,6,Usado,,4.4382063,-75.2167637,1100000
192831208,56.0,56.0,3,2,3,1,menor a 1 año,,,Usado,,4.4216524,-75.1715956,1200000
192734124,85.0,85.0,3,2,4,1,menor a 1 año,,15,,,4.4322335,-75.1769936,1700000
192680837,119.68,,3,2,4,1,,,,,,4.4389163,-75.1989264,4000000
192308844,60.0,,1,1,4,1,1 a 8 años,,8,,,4.4426650420112,-75.204457920349,1400000
192701345,80.0,80.0,3,2,4,1,menor a 1 año,250000.0,,Usado,,4.4322335,-75.1769936,1750000
192807901,82.0,82.0,3,2,4,1,1 a 8 años,330000.0,,Usado,,4.416277869328,-75.174679756165,1470000
192558195,60.0,54.0,2,2,4,,menor a 1 año,291693.0,,Usado,,4.407550987977,-75.166782864913,908307
192764820,76.0,76.0,3,2,4,1,1 a 8 años,,11,Usado,,4.4250522,-75.1831023,2400000
191180666,232.0,232.0,5,4,4,2,16 a 30 años,,7,,7,4.44444,-75.2400164,3200000
191344912,300.0,300.0,8,3,3,,16 a 30 años,,,,,4.4409932555375,-75.226097522809,5000000
192835505,62.0,62.0,3,2,3,1,1 a 8 años,,11,Usado,,4.4202774313409,-75.177088155431,1600000
192771339,79.0,79.0,3,2,4,1,1 a 8 años,220000.0,18,Nuevo,,4.4176778354272,-75.17858505249,2300000
192624465,69.0,69.0,3,2,4,1,,,,,,4.4061649,-75.1682223,1900000
10589842,92.0,92.0,3,2,4,1,9 a 15 años,,3,,3,4.4293682,-75.2123785,1800000
191193118,60.0,,3,2,3,1,1 a 8 años,,7,,7,4.4180439,-75.1789961,1050000
192773989,65.0,,3,2,3,1,1 a 8 años,,9,Usado,,4.4212065,-75.1787172,1100000
192703605,63.0,,2,2,4,1,1 a 8 años,,1,,,4.4278904,-75.1944134,1400000
192659533,56.0,50.0,3,2,3,,menor a 1 año,250000.0,,,,4.4096103649712,-75.168881422126,1050000
191760045,61.0,61.0,3,2,3,1,9 a 15 años,224000.0,,,,4.4010747521381,-75.141152394957,800000
192771064,46.0,,2,1,3,,1 a 8 años,,5,Usado,,4.3961877,-75.1442035,650000
192701218,90.0,,2,2,4,1,1 a 8 años,,4,,,4.4475546,-75.199221,1720000
192308777,60.0,,3,2,2,1,1 a 8 años,,11,,,4.4173778477562,-75.178665798462,1300000
192793686,64.0,,3,2,3,1,,,,Usado,,4.4191468,-75.1751706,1100000
192627387,60.0,,3,2,3,1,9 a 15 años,222000.0,,Usado,,4.4052521247579,-75.142201306298,1058000
192553297,60.0,,3,2,3,,1 a 8 años,,4,,4,4.390834,-75.1435111,900000
192778803,68.0,60.0,3,2,3,1,9 a 15 años,190000.0,,Usado,,4.4469263,-75.1549713,910000
192025256,45.0,,2,1,2,,1 a 8 años,97300.0,,Usado,,4.404815631174,-75.141540057957,402700
191997245,78.0,69.0,3,2,4,2,1 a 8 años,328500.0,,Usado,,4.4062426959788,-75.168144225846,1671500
192699611,63.0,58.0,3,2,3,1,1 a 8 años,178000.0,,Usado,,4.3946068064534,-75.143557079136,572000
192829371,155.0,,3,3,4,1,16 a 30 años,,2,Usado,,4.444676,-75.242438,3000000
192818392,42.0,42.0,2,1,2,,1 a 8 años,110000.0,,Usado,,4.3999581080397,-75.141763687134,590000
192805325,88.0,88.0,3,3,4,1,menor a 1 año,,,Usado,,4.4304991,-75.1857215,2000000
192569210,74.0,,3,2,4,1,1 a 8 años,,15,,,4.4311275,-75.1802893,1500000
